MCF10A_uniqAConly,ITGA6,TSPAN1,RGS2,SLC39A8,ARHGAP18,NETO2
MCF10A_both,KIAA0040,CBLC,IL18
MCF10A_uniqMEonly,FOXA1,LTBP2,SFRP1,CCNA1,RHOD,RAB3D
MCF7_uniqAConly,EVL,ESR1,TSPAN13,INPP4B,ELOVL2,SH3KBP1,BCL2,DAAM1,TCF7L1,LTBP1,SEMA5A,SCCPDH,MSX2,ACER2
MCF7_both,PRLR,PREX1,CALCR,CDKN2A,ZNF74
MCF7_uniqMEonly,KDELR3,HS3ST5,ITPK1
MDA231_uniqAConly,AKR1B1,SOAT1,COL7A1,PRTFDC1
MDA231_both,IGFBP6,AXL,GNG11,SERPINE1,MYL9,LARP6,MSRB3,GNA15,IL11,LPAR1,ARHGAP24,SYDE1,NGF,ANKRD1,COL13A1
MDA231_uniqMEonly,COL5A1,DOCK10,ZCCHC24
